created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-09-05T09:18:32-04:00,1,1,,,,,,
2024-09-05T09:19:41-04:00,2,1,,,,,,
2024-09-05T09:20:21-04:00,3,,73.58,57.2,,,,
2024-09-05T09:22:38-04:00,4,,73.58,57.4,,,,
2024-09-05T09:23:59-04:00,5,,73.76,57.3,,,,
2024-09-05T09:31:11-04:00,6,,73.76,57.4,,,,
2024-09-05T09:31:36-04:00,7,1,73.76,57.3,,,,
2024-09-05T09:31:52-04:00,8,1,73.94,57.2,,,,
2024-09-05T09:32:10-04:00,9,1,73.94,57.2,,,,
2024-09-05T09:34:57-04:00,10,0,73.94,57.2,,,,
2024-09-05T09:35:23-04:00,11,1,73.94,57.1,,,,
2024-09-05T09:37:09-04:00,12,0,73.94,56.9,,,,
2024-09-05T09:38:36-04:00,13,1,74.12,56.6,,,,
2024-09-05T09:40:23-04:00,14,0,74.12,56.6,,,,
2024-09-05T09:48:16-04:00,15,1,74.3,56.0,,,,
2024-09-05T09:50:02-04:00,16,0,74.3,56.0,,,,
2024-09-05T09:59:16-04:00,17,,74.3,55.5,,,,
2024-09-05T10:01:44-04:00,18,1,74.3,55.4,,,,
2024-09-05T10:03:31-04:00,19,0,74.12,55.4,,,,
2024-09-05T10:08:41-04:00,20,1,74.3,55.0,,,,
2024-09-05T10:10:29-04:00,21,0,74.3,54.9,,,,
2024-09-05T10:29:08-04:00,22,1,74.3,53.9,,,,
2024-09-05T10:30:55-04:00,23,0,74.3,53.8,,,,
2024-09-05T10:31:20-04:00,24,1,74.3,54.2,,,,
2024-09-05T10:32:47-04:00,25,0,74.3,54.2,,,,
2024-09-05T10:37:38-04:00,26,1,74.48,53.6,,,,
2024-09-05T10:41:06-04:00,27,0,74.48,53.5,,,,
2024-09-05T10:59:10-04:00,28,,74.66,52.8,,,,
2024-09-05T11:02:47-04:00,29,1,74.66,52.6,,,,
2024-09-05T11:04:18-04:00,30,0,74.66,52.7,,,,
2024-09-05T11:12:32-04:00,31,1,74.84,52.2,,,,
2024-09-05T11:16:21-04:00,32,0,74.84,52.2,,,,
2024-09-05T11:17:08-04:00,33,1,74.84,52.3,,,,
2024-09-05T11:18:35-04:00,34,0,74.84,52.4,,,,
2024-09-05T11:19:02-04:00,35,1,75.02,52.2,,,,
2024-09-05T11:20:28-04:00,36,0,75.02,52.0,,,,
2024-09-05T11:59:24-04:00,37,,75.38,50.3,,,,
2024-09-05T12:24:28-04:00,38,1,75.38,50.4,,,,
2024-09-05T12:27:55-04:00,39,0,75.38,50.2,,,,
2024-09-05T12:30:23-04:00,40,1,75.56,50.2,,,,
2024-09-05T12:34:10-04:00,41,0,75.56,50.2,,,,
2024-09-05T12:59:15-04:00,42,,75.56,49.9,,,,
2024-09-05T13:59:07-04:00,43,,75.56,49.5,,,,
2024-09-05T14:59:18-04:00,44,,75.92,49.6,,,,
2024-09-05T15:59:09-04:00,45,,76.28,49.6,,,,
2024-09-05T16:59:20-04:00,46,,77.72,47.5,,,,
2024-09-05T17:59:11-04:00,47,,78.08,47.4,,,,
2024-09-05T18:59:23-04:00,48,,75.38,51.5,,,,
2024-09-05T19:59:15-04:00,49,,74.12,53.6,,,,
2024-09-05T20:59:10-04:00,50,,72.86,56.4,,,,
2024-09-05T21:59:27-04:00,51,,71.78,59.1,,,,
2024-09-05T22:59:20-04:00,52,,71.24,60.6,,,,
2024-09-05T23:59:11-04:00,53,,70.7,61.0,,,,
2024-09-06T00:59:22-04:00,54,,70.7,61.4,,,,
2024-09-06T01:00:56-04:00,55,,70.7,61.4,,,,
2024-09-06T01:02:47-04:00,56,0,70.7,61.4,,,,
2024-09-06T01:59:17-04:00,57,,70.88,60.8,,,,
2024-09-06T02:59:08-04:00,58,,70.7,60.5,,,,
2024-09-06T03:59:19-04:00,59,,70.7,60.5,,,,
2024-09-06T04:59:10-04:00,60,,70.88,61.1,,,,
2024-09-06T05:59:21-04:00,61,,70.7,62.9,,,,
2024-09-06T06:59:12-04:00,62,,71.24,63.3,,,,
2024-09-06T07:59:24-04:00,63,,71.78,63.6,,,,
2024-09-06T08:59:16-04:00,64,,72.5,63.7,,,,
2024-09-06T09:59:07-04:00,65,,73.4,63.5,,,,
2024-09-06T10:59:19-04:00,66,,74.3,63.6,,,,
2024-09-06T11:12:34-04:00,67,1,75.2,61.3,,,,
2024-09-06T11:14:21-04:00,68,0,75.2,60.9,,,,
2024-09-06T11:59:22-04:00,69,,75.74,62.1,,,,
2024-09-06T12:59:12-04:00,70,,75.56,63.1,,,,
2024-09-06T13:59:23-04:00,71,,76.46,62.2,,,,
2024-09-06T14:35:15-04:00,72,1,76.46,62.6,,,,
2024-09-06T14:40:44-04:00,73,0,76.46,62.5,,,,
2024-09-06T14:41:11-04:00,74,1,76.82,62.9,,,,
2024-09-06T14:42:58-04:00,75,0,76.82,62.9,,,,
2024-09-06T14:43:23-04:00,76,1,77.0,62.9,,,,
2024-09-06T14:45:10-04:00,77,0,77.0,62.9,,,,
2024-09-06T14:45:35-04:00,78,1,77.0,62.8,,,,
2024-09-06T14:49:01-04:00,79,0,77.0,62.7,,,,
2024-09-06T14:49:27-04:00,80,1,77.18,62.6,,,,
2024-09-06T14:51:14-04:00,81,0,77.18,62.7,,,,
2024-09-06T14:51:39-04:00,82,1,77.18,62.7,,,,
2024-09-06T14:53:05-04:00,83,0,77.18,62.6,,,,
2024-09-06T14:53:31-04:00,84,1,77.18,62.7,,,,
2024-09-06T14:55:17-04:00,85,0,77.18,62.8,,,,
2024-09-06T14:55:48-04:00,86,1,77.0,62.9,,,,
2024-09-06T14:57:16-04:00,87,0,77.0,62.9,,,,
2024-09-06T14:57:42-04:00,88,1,77.0,63.0,,,,
2024-09-06T14:59:08-04:00,89,,77.0,63.0,,,,
2024-09-06T15:02:58-04:00,90,0,77.0,63.0,,,,
2024-09-06T15:03:23-04:00,91,1,77.0,63.0,,,,
2024-09-06T15:13:53-04:00,92,0,77.36,62.9,,,,
2024-09-06T15:14:18-04:00,93,1,77.36,62.9,,,,
2024-09-06T15:21:45-04:00,94,0,77.36,62.9,,,,
2024-09-06T15:22:10-04:00,95,1,77.72,62.4,,,,
2024-09-06T15:23:37-04:00,96,0,77.72,62.3,,,,
2024-09-06T15:24:02-04:00,97,1,77.9,62.3,,,,
2024-09-06T15:29:09-04:00,98,0,77.9,62.3,,,,
2024-09-06T15:29:35-04:00,99,1,78.26,61.7,,,,
2024-09-06T15:31:01-04:00,100,0,78.26,61.7,,,,
2024-09-06T15:31:26-04:00,101,1,78.26,61.8,,,,
2024-09-06T15:36:33-04:00,102,0,78.26,61.8,,,,
2024-09-06T15:36:58-04:00,103,1,78.44,61.6,,,,
2024-09-06T15:43:44-04:00,104,0,78.44,61.6,,,,
2024-09-06T15:44:10-04:00,105,1,78.26,61.4,,,,
2024-09-06T15:50:56-04:00,106,0,78.26,61.4,,,,
2024-09-06T15:51:21-04:00,107,1,78.08,61.6,,,,
2024-09-06T15:54:48-04:00,108,0,78.08,61.6,,,,
2024-09-06T15:55:13-04:00,109,1,78.26,61.5,,,,
2024-09-06T15:56:39-04:00,110,0,78.44,61.4,,,,
2024-09-06T15:57:04-04:00,111,1,78.44,61.2,,,,
